ID,電影名(中),電影名(英),分級,上映日,導演,演員,類型,片長,劇情介紹,電影連結,海報連結,預告連結
28,麵包超人電影版：細菌人與繪本的露露,ANPANMAN BAIKINMAN AND LULUN IN THE PICTURE BOOK,"""普""",2024-10-04,川越淳,(配音)汪世瑋、孫誠、吳佳樺、梁興昌、龍顯蕙、楊詩穎、喬資淯、林柏昱,動畫,1時4分,"某一天，細菌人發現了一本繪本。
他聽到繪本裡傳來聲音，呼喊「愛與勇氣的戰士，細菌人，快來幫我吧！！」然後就被吸進那本繪本裡面。
繪本裡面的世界有一大片森林妖精們居住的巨樹大森林，細菌人在那裡遇見了森林妖精——露露。
她想要打倒破壞森林的吸吸象，但是她個性膽小，鼓不起勇氣，只好拜託細菌人。
儘管細菌人一開始不情願，後來也全力以赴想打倒吸吸象。
露露看見細菌人努力的模樣，獲得了勇氣。
但是吸吸象太強了，讓細菌人和露露陷入大苦戰！陷入了無路可退的危機，細菌人告訴露露「快叫麵包超人過來！」……麵包超人、細菌人和露露最後能不能成功守護繪本世界呢？-曼迪傳播",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7488,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930003.jpg,https://www.youtube.com/embed/QYe5uyrU2LI?si
29,擅長捉弄人的高木同學 電影版 TEASING MASTER TAKAGI SAN,TEASING MASTER TAKAGI SAN,"""普""",2024-10-04,今泉力哉,永野芽郁、高橋文哉、齋藤潤、白鳥玉季,愛情、劇情,2時0分,"《擅長捉弄人的高木同學電影版》故事的舞台在某島上的一所中學。
男孩西片時常被坐在他旁邊的女孩高木捉弄，儘管他試圖想出各種計劃來報復她，但總是被看穿而失敗。
在一次次嘻笑打鬧，兩人度過百無聊賴，彼此無可取代的每一天，可是高木要搬家了……。
10年後，高木（永野芽郁飾）以實習老師的身份回到了島上！西片（高橋文哉飾）也作為一名體育老師為生活而努力著。
當兩人再次見面時，似乎內心裡悄然地牽起漣漪，停止「捉弄」的日子彷彿又開始移動。
他們的記憶仍然依舊，海面波光粼粼閃閃發亮，山上那風光明媚的風景還等著他們。
-捷傑電影",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7491,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930001.jpg,https://www.youtube.com/embed/aYW5nCO8MQg?si
30,當我的指尖觸碰到你的溫度時,THE TIME OF FEVER,"""護""",2024-10-04,楊慶熙,元太珉、燾宇,愛情,1時41分,"本片是2023年南韓人氣BL劇《非意圖的戀愛談》的衍生故事，將劇情聚焦在《非意圖的戀愛談》副CP「浩泰」與「東熙」，兩人在學生時代的原創愛情故事，也讓這對廣受劇迷愛戴的組合，透過本片正式成為主角。
浩泰（元太珉飾演）和東熙（燾宇飾演）從小如兄弟般一同長大，幾年前搬到首爾的浩泰，在父親的葬禮後重返江陵。
另一方面，東熙在出櫃後被逐出家門，獨自住在浩泰的空房當中。
也因為浩泰的回歸，讓多年不見的兩人重逢，並居住在同一個屋簷下，也讓東熙對初戀情人浩泰，那沉寂已久的心再度雀躍起來，並試圖壓抑自己的感情。
反觀浩泰也對許久未見的東熙，產生前所未有的情愫。
為了擺脫對東熙混亂的情感，浩泰試著隨便跟女生展開交往，而東熙也對浩泰如此輕率的態度感到受傷。
兩人脆弱的感情關係，因為一次意外事件而逐漸開始改變…。
改編自熱門網路漫畫的《非意圖的戀愛談》，原著曾榮獲「RidibooksBL漫畫大獎」等多個獎項，證明了本作的火紅人氣。
尤其單行本初版發行，不到一週時間就決定加印，甚至還看到粉絲「反覆多次閱讀」的留言，可見本作的核心粉絲層非常穩固。
而被翻拍成戲劇作品之後，更在「GOODDATACorporation」所調查的2023年4月第二週TV-OTT綜合電視劇話題性排名第二名，還在日本樂天TV開播首週的綜合排行榜勇奪冠軍，受到觀眾廣泛喜愛，可說是繼《語意錯誤》之後，又一南韓人氣話題BL劇。
《非意圖的戀愛談》人氣火爆的秘訣，就是從主CP到副CP，每個角色都展現出不同的魅力。
不論是溫暖的外貌，加上各自不同的個性、多樣化的敘事結構，甚至是現實生活中不可能存在的無缺點完美男，在在都滿足熱愛BL作品觀眾們的想像。
這也讓該劇粉絲表示，想觀賞更多副CP「浩泰」與「東熙」的故事。
這也讓本片應運而生，更集結原始演員元太珉、燾宇再續前緣繼續演出。
尤其這是原著中從未見過的原創故事，再透過《經常請吃飯的理事大人》、《想咬一口的嘴唇》導演楊慶熙，以及《非意圖的戀愛談》、《在你視線停留的地方》編劇申智安通力打造。
因為這是原創全新故事，對即使沒觀賞過《非意圖的戀愛談》的觀眾來說，都不會因為劇情連貫問題而產生看不懂的疑慮。
透過這對人氣BL作品編導的攜手合作，將以細膩又唯美的手法，刻畫出浩泰與東熙更多的愛情故事，展現更加感性的氛圍與餘韻，再配合《語意錯誤》攝影導演安謙書的絕美攝影，共同打造出這部超乎期待的作品。
-采昌國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7485,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240924019.jpg,https://www.youtube.com/embed/if3h1Mrfr48?si
31,武替道,STUNTMAN,"""護""",2024-10-04,梁冠堯、梁冠舜,劉俊謙、伍允龍、蔡思韵,動作、劇情,1時54分,"《九龍城寨之圍城》劉俊謙、《追龍》伍允龍、《十月圍城》動作指導董瑋、《還錢》蔡思韵主演，影片詮釋了武打替身幕後血淚交織的生活和心路歷程。
動作指導李森(董瑋飾)息影多年，他曾因為拍攝危險動作場面引發意外，讓他退出影壇更妻離子散，但因昔日合作的導演想完成人生最後一部作品而重出江湖，偶然認識了充滿熱情卻苦無機會的動作演員李世龍(劉俊謙飾)，兩人一拍即合，想憑這部「最後之作」喚回觀眾的熱情，讓港產動作片更發光發熱。
李森更渴望重振名聲，好修補和女兒(蔡思韵飾)疏離的關係。
但李森重返片場發現今非昔比，更與曾經結怨、現已是動作巨星的梁志威(伍允龍飾)帶領的威家班狹路相逢。
兩人對於動作場面的拍攝看法分歧，李世龍夾在中間左右為難，此時，一件突發事故，也將師徒倆推向失控邊緣...-華映娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7470,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918001.jpg,https://www.youtube.com/embed/bh4M1ZgDFo8?si
32,飛鳥總動員,RICHARD THE STORK AND THE MYSTERY OF THE GREAT JEWEL,"""普""",2024-10-04,Mette Tange、Benjamin Quabeck,(配音)Ilka Teichmüller、Kevin Kraus、Marco Eßer、Volkmar Leif Gilbert、Giovanna Winterfeldt,動畫,1時24分,"由鸛家族收養的麻雀理查，與家人們一同生活在北非大湖旁過冬，理查以自豪的飛行技巧以為能獲選為帶領家族返回北方的領袖，然而在甄選時理查卻因觸犯了禁忌而失去了資格，不服氣的理查決定獨自往北飛，展開自己的旅程，卻在途中巧遇了薩密雅及她的麻雀夥伴。
然而這些生活在城鎮中的麻雀夥伴正面臨著大麻煩，邪惡的禿鸛與貪婪孔雀掌控著城市，逼得麻雀們必須為了珠寶每日奔波，而光靠小小麻雀的力量也難以逃到其他地方生存。
他們唯一重獲自由的機會，是找到傳說中的「至尊之寶」，為了解開找到祕寶的謎題，理查與麻雀們必須彼此合作、互相信任，最後他們是否能夠找到寶藏，重獲自由呢？-可樂電影",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7472,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918038.jpg,https://www.youtube.com/embed/k1fYp1KyTIY?si
33,布勒合唱團：直到盡頭,BLUR TO THE END,"""普""",2024-10-04,Toby L.,Blur、Damon Albarn、Graham Coxon、Alex James、Dave Rowntree、Pauline Black,紀錄片、音樂/歌舞,1時44分,"一部屬於大銀幕的紀錄片！《布勒合唱團：直到盡頭》捕捉了英搖天團Blur驚喜且動人的最新篇章，忠實紀錄樂團帶著睽違八年、廣受好評的冠軍專輯《戴倫之歌》（TheBalladofDarren）榮耀回歸的精彩歷程。
電影講述四位合作超過30年的團員，同時也是四個人生摯友：戴蒙、葛拉罕、艾力克斯、戴夫之間獨一無二的友誼。
他們於2023年初再度聚首錄製新專輯，並在七月的時候首次於倫敦知名溫布利球場舉辦場場完售的演唱會。
錄音室裡的點點滴滴、首首勁歌金曲的精彩演出紀實、團員們的人生況味、零距離重現的珍貴影像，《布勒合唱團：直到盡頭》是對這個英國流行音樂史上最歷久不衰的樂團一次貼近的凝視，更是讓全球樂迷親身參與屬於Blur的私密時光。
關於布勒從他們1991年宣布發行首張專輯《Leisure》開始，布勒合唱團用七張大賣的冠軍專輯，徹底改變了英國流行樂壇：《Parklife》（1994），《TheGreatEscape》（1995），同名專輯《Blur》（1997），《13》（1999），《ThinkTank》（2003），《TheMagicWhip》（2015）與《TheBalladofDarren》（2023），另外還有一連串打入排行榜前十的勁歌金曲，包括冠軍單曲〈CountryHouse〉與〈Beetlebum〉，都讓他們在英國以及世界各地大受歡迎。
身為英國最受歡迎的天團之一，布勒合唱團到目前總共發行了九張錄音室專輯，榮獲10座NME音樂獎、6座Q音樂獎、5座全英音樂獎，以及IvorNovello獎，也對數以萬計的全球樂迷展開巡迴演出。
2010年，布勒合唱團發行了獲葛萊美獎提名的紀錄片《搖滾旅程紀錄片/海德公園演唱會紀實》（NoDistanceLeftToRun），而1993年發行的首部紀錄片《星光閃耀成團全紀錄》（Starshaped）直至今日仍受粉絲津津樂道。
這個聲勢不墜的英國天團最新冠軍專輯《戴倫之歌》（TheBalladofDarren），在樂評盛讚之下於2023年7月21日發行，再度確定他們對英國文化超過30年的深遠影響力。
-好威映象",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7484,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240924013.jpg,https://www.youtube.com/embed/rMle3LUXjpY?si
34,薇娜：死後七日,VINA,"""限""",2024-09-27,安吉烏巴拉 Anggy Umbara,奈拉丹尼普納馬 Nayla D. Purnama、吉塞爾瑪菲爾曼夏 Gisellma Firmansyah、迪麗雅侯賽因 Delia Husein,恐怖,1時40分,"震驚全國！印尼最駭人真實靈異事件改編，血淚控訴！死者附身好友三分半鐘真實錄音曝光，本片迫使印尼警方相隔八年重啟調查本案，導演因拍攝本片遭到印尼警方扣留七小時。
少女薇娜（奈拉丹尼普納馬飾）的屍體在印尼井里汶的高架橋上被發現，警方宣稱她是因為交通事故而喪命，但薇娜的家人們不相信，因為她身上的傷口很不自然。
這時，薇娜的靈魂附到了好友琳達（吉塞爾瑪菲爾曼夏飾）的身上，要親自揭發她的駭人遭遇……。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7465,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918041.jpg,https://www.youtube.com/embed/BwJy-62Hahw?si
35,在大雪封閉的山莊裡,IN AN ISOLATED COTTAGE ON A SNOWY MOUNTAIN,"""普""",2024-09-27,飯塚健,重岡大毅、中條彩未、岡山天音,推理、懸疑,1時49分,"東野圭吾原著小說改編，密閉山莊殺人事件，兇手究竟是誰?!WEST.重岡大毅、《東京復仇者》間宮祥太朗、《百花》岡山天音、《法庭遊戲》戸塚純貴、《電影版狂賭之淵》森川葵、《輪到你了劇場版》西野七瀬、《電影版TOKYOMER:行動急診室》中條彩未、《教場0》堀田真由主演。
七位演員應邀參加新劇的最終試鏡，試鏡地點設在一處被大雪封閉的山莊，並安排在為期四天的合宿期間進行。
劇本是這行人被困在這個山莊，並陷入了一宗連環殺人案中。
在這個封閉的空間中，演員們卻一一消失。
這究竟是虛構的故事，還是現實?一個驚心動魄的結局即將揭曉。
-政駒實業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7416,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240923002.jpg,https://www.youtube.com/embed/5Uzb9uaNYiM?si
36,雪水消融的季節,AFTER THE SNOWMELT,"""普""",2024-09-27,羅苡珊,羅苡珊,紀錄片,1時50分,"影片以2017年台灣年輕情侶至尼泊爾爬山，卻因天候而發生山難的事件為背景，講述甫成年的年輕人初次面對摯友離世的傷痛經驗。
該片由台灣、日本聯合製作，並獲2023年文策院TCCF創意內容大會提案首獎（TAICCAXCNCAWARD）、2023年韓國DMZ國際紀錄片影展粗剪提案會優選獎。
「在成年前夕，我（即導演羅苡珊）的摯友宸君和聖岳去尼泊爾健行，並與羅苡珊相約在途中會合。
但這份約定卻淪為缺憾——他們因大雪而受困在岩洞裡，當聖岳在受困第47天獲救時，宸君已於三天前離世。
倖存的聖岳帶回宸君給我的信，並告訴我他們的約定：活下來的人要說出這個故事。
我於是拿起相機、跟隨聖岳走入山中，以此面對宸君的遺願。
但聖岳逐漸對山難避而不談，促使我獨自來到尼泊爾，履行當初與宸君相約會合的承諾。
漸漸地，我的旅程與宸君的旅途重疊在一起，並通往同一個目的地——山難岩洞。
在雪融的季節，有些事物重見天日，有些事物則隨之消逝。
當我追索宸君的腳步來到洞口時，等待我的會是什麼？」-希望影視",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7412,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240911007.jpg,https://www.youtube.com/embed/P0befpjU1L8?si
37,那年夏天，想見妳,THE SUMMER,"""普""",2024-09-27,韓智媛,(配音)尹雅英、宋河琳,動畫、愛情,1時1分,"李景的瞳孔是棕色的，她是個再平凡不過的高中生；素伊是學校女足隊的風雲人物，宛如夏日酷陽耀眼。
18歲那年，兩個女孩相遇了，意外墜入愛河，即將迎來20歲生日的她們，許願展望未來。
與順利考上大學的李景不同，素伊提前進入了社會，在充滿陌生的幸福與瑣碎的誤會間，兩人必須面對新的季節。
編劇崔恩英與導演韓智媛，通過女性的眼睛，透過女性的觸摸，書寫描繪出愛情的瞬間，讓人聯想到多年前《藍色大門》的青春躁動，與重溫《第一次遇見花香的那刻》難忘的纏綿愛戀。
-水元素",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7460,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240910002.jpg,https://www.youtube.com/embed/Y1-7E8Hz1Ww?si
