ID,電影名(中),電影名(英),分級,上映日,導演,演員,類型,片長,劇情介紹,電影連結,海報連結,預告連結
38,種土,SOUL OF SOIL,"""普""",2024-09-20,顏蘭權,-,紀錄片,2時22分,"《種土》記錄台灣南部的小鎮有兩個傻瓜：一位是41歲的阿仁，他放棄竹科的高收入與西裝領帶跑車，整天與發臭的菜葉果皮為伍，製作著有機堆肥；他撿著永遠也撿不完的堆肥中的塑膠垃圾...。
另一位是59歲的安和哥，他讓棗園的草，長的比腰還高；他徒手抓毛毛蟲，帶到荒地放生；他在果樹下襬上吊床，隨時可以在涼風的輕拂中瞌睡。
他向自然之道取經，農活既是生活形式，也是生命態度。
他們的夢想很簡單，就是讓土壤再次「活」了起來，變成可自在呼吸的活土。
然而，天地運行，大道無形也無情，理想與現實的拉鋸間，兩個認真尋夢的人，種下土壤，究竟是希望，還是憨人的白日夢？-牽猴子",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7450,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240906008.jpg,https://www.youtube.com/embed/cJ5tOjxmNuQ?si
39,屍控戰場,OPERATION UNDEAD,"""輔""",2024-09-20,龔席立,阿瓦拉塔納平塔、查農桑提納同庫,驚悚、戰爭,1時50分,"《鬼4厲》龔席立執導，《猛鬼大學：邪無止禁》阿瓦拉塔納平塔、《模犯生》查農桑提納同庫主演，泰國新片票房冠軍。
1941年，泰國春蓬府的情勢一觸即發，中士梅克（查農桑提納同庫飾）和弟弟莫克（阿瓦拉塔納平塔飾）間的關係也相當緊張，就在此時莫克被徵召前往前線對抗日軍。
他們並不知道日軍正帶著一項祕密生化武器登陸，莫克與其他青年兵遭到感染成了啃食人肉的喪屍，而梅克則接到殲滅受感染變種生物的任務……。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7458,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240912002.jpg,https://www.youtube.com/embed/rcq5zY_i62w?si
40,200%小狼人,200% WOLF,"""普""",2024-09-20,亞歷克斯施塔德曼,伊萊斯溫德爾斯、Elizabeth Nabben、珍妮佛珊德絲、Sarah Georgina,動畫,1時38分,"《100%小狼人》艾利克斯坦德曼執導，《弒婚遊戲》薩瑪拉·威明、《軍法》伊萊·史雲戴爾、《史瑞克2》珍妮佛·珊德絲配音，為了守護伙伴的安危，挺身而出成為拯救世界的英雄！在狼人家族中意外變身成貴賓犬的福來弟，正在努力獲得狼人群體的尊重。
但當他許下一個任性的願望，陰錯陽差之下使他成功變成了狼人，卻意外出現了調皮的月亮精靈！福來弟必須負責把月亮精靈送回月球，他需要在地球和月球相撞之前恢復宇宙秩序！驚險刺激的旅程處處暗藏著危機，福來弟一行人該怎麼辦？-原創娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7415,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240909003.jpg,https://www.youtube.com/embed/tsTi7CPpKw8?si
41,你的名字。,YOUR NAME.,"""普""",2024-09-13,《秒速5公分》新海誠,(配音)《爆漫王》神木隆之介、《窈窕舞妓》上白石萌音,動畫、劇情,1時47分,"只要不停止相愛我們就能跳越時空找到彼此最青澀浪漫的戀愛奇遇！高校男孩立花瀧（神木隆之介飾）在半夢半醒間睜開睡眼，竟發現自己身處不知名的房間，甚至發現自己變成一個陌生女孩！而遠在他方的高校女生宮水三葉（上白石萌音飾），醒來時也發現自己變成男孩，原來是他們的身體對調了！驚醒的兩人跳起床後發現又回到了自己的身體裡，但只要睡覺或半夢半醒之際，他們兩個人就會互換身份。
一頭霧水的宮水決定循著片段的線索想要找到男孩，而男孩也透過在房間留下便條紙試著跟女孩溝通，兩人想盡辦法，在現實世界找到彼此，過程中更漸漸了解彼此，甚至開始產生好感，但沒想到兩人的奇遇並非隨機巧合，突如其來的事件也讓一切美好想像有了變化…",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=1303,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240906007.jpg,https://www.youtube.com/embed/ANWzJ19yEuY
42,邪惡勿語,SPEAK NO EVIL,"""輔""",2024-09-13,詹姆士瓦金斯,詹姆斯麥艾維、麥坎西黛維斯、史古特麥奈利、艾莉克絲威斯特萊弗勒、丹霍夫,驚悚、恐怖、劇情,1時50分,"一個夢幻假期的開始，卻成為一場可怕夢魘…當一個美國家庭受邀前往一座他們在度假時結識的迷人英國家庭的優美莊園度過週末時，原本應該是一個夢幻假期的開始，卻很快就變成了一場可怕的心理夢魘。
-環球影片",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7241,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240822001.jpg,https://www.youtube.com/embed/4pOzx0GfLtc
43,湄公河水鬼,MA DA,"""輔""",2024-09-06,阮友黃 Nguyen Huu Hoang,越香 Viet Huong、阮成祿 Thanh Loc、徵丹 Trung Dan,恐怖,1時35分,"票房狂飆！打破越南影史恐怖片最高開片票房紀錄！取材自湄公河三角洲最黑暗的恐怖傳說超過10倍票房力壓同天上映的《異形：羅穆路斯》，強勢登頂越南票房冠軍關於這條河的傳說都是真的…黎太太（越香飾）靠著在湄公河上替人尋找落水失蹤的親友維生，然而她的工作卻意外觸怒越南傳說中的水鬼「ＭaDa」，導致她心愛的女兒被「MaDa」纏上，黎太太必須趕緊找到解救女兒的方法，否則她將淪為河底的亡魂……。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7441,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240911013.jpg,https://www.youtube.com/embed/ZDBR_A95bdE?si
44,陰間大法師 BEETLEJUICE,Beetlejuice,"""輔""",2024-09-05,提姆波頓,麥可基頓、凱薩琳奧哈拉、賈斯汀瑟魯斯、莫妮卡貝魯奇、亞瑟康堤、珍娜奧特嘉、威廉達佛,喜劇、奇幻/科幻、恐怖,1時45分,"陰間大法師回來了！在發生一場意想不到的家庭悲劇後，迪茲家族的三代家人又回到冬河鎮的家中。
麗迪亞仍然受到陰間大法師的糾纏，當她叛逆的青少年女兒亞絲翠在閣樓發現了神秘的小鎮模型，以及通往陰間的入口不小心被打開之後，她的生活就被搞得天翻地覆。
當陰間和陽間開始出現麻煩時，遲早會有人說出陰間大法師的名字三次，然後這個調皮搗蛋的惡魔就會回來，釋放他獨特的混亂力量。
《",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7223,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240809004.jpg,https://www.youtube.com/embed/wD0knpzPjQY
45,跳越時空的愛戀,URANUS2324,"""輔""",2024-08-28,Thanadol Nualsuth,Freen Sarocha Chankimha、Rebecca Patricia 'Becky' Armstrong、Erich Fleshman、Christophe Gerber,愛情、奇幻/科幻、劇情,2時11分,"琳（Freen飾演）和凱斯（Becky飾演）從朋友發展成戀人關係，琳夢想成為太空人，而凱斯則夢想打破自由潛水世界紀錄。
當琳終於成為太空人，凱斯卻消失在深海之中，再也沒有回來，讓琳的餘生都陷入在痛苦之中。
某日，琳執行太空任務，但太空船卻陷入巨大的太陽風暴當中，甚至切斷了她與地球的聯繫。
她認為這可能是她生命中的最後一刻了，這時，某種形式的能量突然帶走她的靈魂，將她傳送到與凱斯多個不同的平行世界當中。
兩人在平行世界裡跨越不同時代，都相互愛上彼此，只不過最終都無法改變悲痛的結局。
儘管如此，她仍堅持追求一個可以跟凱絲珍惜彼此的世界，不必再忍受著別離的痛苦…。
-采昌國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7405,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240816005.jpg,https://www.youtube.com/embed/zmpu5jrxefI?si
46,霍爾的移動城堡,HOWLS MOVING CASTLE,"""普""",2024-08-22,宮﨑駿,(配音)倍賞千惠子、木村拓哉、美輪明宏、我修院達也、神木隆之介,動畫,1時59分,"18歲少女蘇菲在父親遺留下來的帽子店工作，有天平淡的生活出現改變，不僅在街上遇到帶著她飛上天的神祕魔法師霍爾，還遭荒野女巫下咒，瞬間變成90歲的老婆婆。
變老的蘇菲迫於無奈遠走他鄉，卻誤打誤撞住進霍爾的移動城堡，與霍爾相處的過程中漸漸尋回自我的價值，勇敢活出生命的意義。
-甲上娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7402,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240729019.jpg,https://www.youtube.com/embed/CnBDgYIdTfU?si
47,電影蠟筆小新：我們的恐龍日記,CRAYON SHINCHAN THE MOVIE OUR DINOSAUR DIARY,"""普""",2024-08-16,佐佐木忍,(配音)小林由美子、楢橋美紀、森川智之、興梠里美、真柴摩利,動畫,1時46分,"《蠟筆小新》第31部劇場版作品，《幽遊白書》超人氣男星北村匠海特別演出，日搖神團MyHairisBad獻唱主題曲〈思い出をかけぬけて〉，這個暑假，好像有點不一樣哦！這個暑假，主打近距離觀察復活的恐龍的主題樂園「恐龍島」在東京開幕了。
小新與春日部防衛隊，受邀至這座備受矚目的樂園參觀。
與此同時，野原家的愛犬小白，在春日部河畔遇見了小恐龍那那。
那那很快地與他們成為好友，共度這個充滿回憶的暑假。
然而，那那其實有一個驚人的祕密。
就在此時，「恐龍島」上發生了恐龍逃脫事件……。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7398,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240729004.jpg,https://www.youtube.com/embed/pf4K7wLSue4?si
48,異形：羅穆路斯,ALIEN ROMULUS,"""輔""",2024-08-15,費德阿瓦雷茲,伊莎貝拉莫塞、卡莉史派妮、亞奇雷諾斯、史派克費恩,奇幻/科幻、恐怖,1時59分,"科幻經典深入探索恐懼根源！恐怖直達深處的電影體驗！「異形之父」金獎大導雷利史考特監製《暫時停止呼吸》驚悚鬼才導演費德阿瓦雷茲執導年輕的太空殖民者意外揭曉宇宙中最可怕的生命形式……這次將帶觀眾回到系列的根源，由異形之父，金獎大導雷利史考特監製，找來曾拍攝《暫時停止呼吸》、《屍變》驚悚鬼才導演費德阿武雷茲執導。
故事描述一群年輕的太空殖民者在一艘廢棄的太空站進行拆解時，將揭密宇宙中最可怕的生命形式…《異形：羅穆路斯》",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7213,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240730032.jpg,https://www.youtube.com/embed/M4m435Rh_kE?si
49,鬼才之道,DEAD TALENTS SOCIETY,"""輔""",2024-08-07,徐漢強,陳柏霖、張榕容、王淨、百白、曾威豪(瘦瘦)、姚以緹、黃迪揚、大鶴、龍龍(林千聿)、昶瑋、竺定誼,喜劇、劇情,1時50分,"耗時四年【返校】導演徐漢強前所未見陰間喜劇挑戰影史上鬼比人還多的電影陳柏霖率眾鬼出籠故事劇情從一間沒落的都市傳說「旺來大飯店」414號房開始，過氣女鬼天后凱薩琳與鬼經紀人Makoto為了在鬼界不被時代淘汰，得找尋出路，力爭上游的厲鬼們，要如何繼續成名陽間，創造新的都市傳說呢？「一個人的才華，有時候要變成鬼才知道。
」打破想像、超乎預期。
-索尼影業、牽猴子",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7230,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240709015.jpg,https://www.youtube.com/embed/a4IMYv34m_o
50,屁屁偵探：再見親愛的夥伴，屁屁啊,BUTT DETECTIVE THE MOVIE FAREWELL MY LOVELY,"""普""",2024-08-02,瀨藤健嗣,(配音)三瓶由布子、齋藤彩夏、櫻井孝宏、津田健次郎、杉村憲司、池田鐵洋、小西克幸、中村誠、渡邊一計,動畫,1時12分,"屁屁偵探的事務所，收到了前搭檔水仙發來的一封信。
信中說道，全國各地的博物館，包括水仙現在任職的的哈特小鎮梅托博物館，都有大量畫作被換成了贗品，而水仙的老師金木，正被製造這些事件的秘密組織強迫製造贗品。
 水仙希望屁屁偵探能夠揭穿秘密組織的陰謀、拯救金木老師。
然而水仙的外貌與屁屁偵探曾經認識的女孩已有些不同，不知是敵是友。
儘管如此，屁屁偵探還是接受了請求，並在與秘密組織的戰鬥中深受重傷…-台北双喜電影",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7394,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240723001.jpg,https://www.youtube.com/embed/wsjgzCypiSE?si
51,驀然回首,LOOK BACK,"""普""",2024-08-01,押山清高,(配音)河合優實、吉田美月喜,動畫,0時57分,"本片改編自以《炎拳》、《鏈鋸人》等作品聞名的漫畫家藤本樹的短篇原創漫畫，故事描述對自己漫畫充滿自信的藤野，以及拒絕上學的京本，這兩位女孩因為對漫畫一心一意的熱愛而相識，直到某天發生一起意外事件，讓所有的一切因而粉碎…。
擅長創作四格漫畫的小四生藤野（河合優實配音），意外得知長期「家裡蹲」拒絕上學的京本（吉田美月喜配音），也跟她一起在校刊上連載四格漫畫。
在藤野眼中，京本的畫功優異於她，讓藤野在自尊心作祟下，將其轉化成自己的成長動力，卯足全力鑽研畫功，花費一整年時間試圖追上差距，卻自認仍舊無法超越京本，導致她心灰冷意，決定放棄繪畫。
直到小學畢業前夕，藤野在老師的請託下，轉交畢業證書給待在家中的京本。
兩個性格相反的少女，也在此時正式相會，不僅促使藤野重燃對漫畫的熱愛，更牽起兩人不可分割的羈絆，共同踏上創作之路。
隨著歲月流逝，兩人的逐夢之路有悲有喜，然而一場殘酷的意外，卻粉碎了她們對未來的一切幻想…。
《驀然回首》是以《鏈鋸人》、《炎拳》等作品聞名全球的人氣漫畫家藤本樹，在2021年7月19日於漫畫平台網站「少年JUMP+」發表的短篇漫畫作品。
雖然只有143頁篇幅，然而悲喜交加的情節，以及令人揪心的轉折，不僅探觸創作的艱辛與意義，更窺探衝?人心的社會議題，以其涵蓋青春、創作與夢想等主題，讓讀者看完無不熱淚直呼「天才之作」、「太震撼了」、「無法想像」，甚至將本作視為自己的人生作品。
驚人的是，本作公開首日就刷新「少年JUMP+」歷史紀錄，突破250萬瀏覽次數，之後更榮登「這本漫畫真厲害！2022」男性讀者票選冠軍寶座，甚至連藝術家村上隆、奈良美智、《SPY×FAMILY間諜家家酒》編輯林士平、《我推的孩子》漫畫家橫槍萌果等眾多知名漫畫工作者都為之讚頌！這本話題神作，在粉絲的高度期盼之下，終於在2024年推出劇場版登上大銀幕。
由《灌籃高手》原畫擔當公司「STUDIODURIAN」製作，並由曾擔任過《新世紀福音戰士新劇場版：破》、《借物少女艾莉緹》、《風起》等知名動畫的原畫師、有「怪物動畫師」之稱的押山清高執導。
雖然這是他首度執導動畫長片，卻一手包辦全片大部分製作，包括導演、劇本、角色設計等職務。
他生動細緻地描繪出創作者的內心世界，並運用風格化的著色和筆觸，為本片增添跟原著截然不同的韻味，並讓原著經典的電影感分鏡，能夠真正以電影形式跟觀眾見面。
他非常努力完成這部作品，甚至直到本片公開對外試映的前一天晚上，都還在用心完成主線故事，讓人對他的努力感到無比敬佩，就連原著作者藤本樹都笑讚：「我覺得押山導演的熱情非常令人驚嘆，而且身為原著作者的我，總覺得他的畫面比我自己的還要更好，真是有些不服氣。
」-采昌國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7384,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240715001.jpg,https://www.youtube.com/embed/TgUhxA_r8lw?si
52,死侍與金鋼狼,DEADPOOL AND WOLVERINE,"""輔""",2024-07-24,薛恩李維,萊恩雷諾斯、休傑克曼、莫蓮娜芭卡琳、馬修麥費狄恩、艾瑪可林、布莉安娜海德布蘭德、萊絲莉厄格絲、卡蘭索尼、派崔克史都華、珍妮佛嘉納,喜劇、奇幻/科幻、動作,2時10分,史上最另類超級英雄、語不驚人死不休的死侍睽違六年終於萬眾矚目重返大銀幕，更首度加入漫威電影宇宙！除了與老搭檔鋼人、青少女彈頭和雪緒再度聚首，更將與睽別15年的金鋼狼二度並肩作戰再續兄弟情，時間變異管理局找上門帶走他也老神在在，並自認只有自己能當漫威救世主，改寫漫威電影宇宙！-《死侍與金鋼狼》,https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7177,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240604003.jpg,https://www.youtube.com/embed/mnfewzlueXM
53,電影哆啦A夢：大雄的地球交響樂,DORAEMON THE MOVIE NOBITAS EARTH SYMPHONY,"""普""",2024-07-12,今井一曉,（配音）水田山葵、大原惠、嘉數由美、木村昴、關智一、田村睦心、芳根京子、悠木碧、天月、Vaundy,動畫、喜劇、冒險,1時55分,"為了參加學校的音樂會，大雄努力練習不擅長的直笛，神祕的少女米佳突然出現在他面前。
米佳很喜歡大雄悠閒自在的音色，便招待哆啦A夢與大雄前往將音樂轉化為能量的行星「音樂殿堂」。
為了讓音樂殿堂復甦，米佳正在找尋一起演奏音樂的專家，哆啦A夢也利用道具「音樂家執照」演奏讓殿堂復甦的音樂，此時，將音樂從世界上消除的可怕生物也朝著他們來襲。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7297,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240710022.jpg, 
54,名偵探柯南 100萬美元的五稜星,DETECTIVE CONAN THE MOVIE THE MILLION DOL,"""普""",2024-06-28,永岡智佳,(配音)高山南、山口勝平、山崎和佳奈、小山力也、堀川亮、宮村優子、雪野五月、小野大輔、游佐浩二、緒方賢一、林原惠、岩居由希子、高木涉、大谷育江、松井菜櫻子、花田光、石井康嗣、池田秀一、石田彰、津田健次郎、大泉洋、松岡禎丞、菅生隆之、中博史、高野麻里佳、銀河萬丈,動畫、推理、懸疑,1時50分,"故事描述怪盜基德對斧江財團位於北海道函館的收藏庫發出了預告信，然而奇怪的是，向來只愛盜取名貴珠寶的基德，這次鎖定的目標竟然是一把幕末時代的日本刀。
在此同時，柯南與關西名偵探服部平次，正巧為了劍道大會也來到了函館，面對神秘的殺人事件以及基德的公然挑戰，柯南與平次能否成功阻止基德？而秘藏在刀裡的驚人真相又究竟為何？-普威爾",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7269,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240429002.jpg,https://www.youtube.com/embed/QH2tVx7RbU0
55,腦筋急轉彎2,INSIDE OUT 2,"""普""",2024-06-13,凱爾西曼恩,(配音)愛咪波勒、菲莉絲史密斯、路易斯布萊克、托尼海爾、麗莎拉琵拉、瑪雅霍克,動畫、喜劇、冒險,1時36分,《腦筋急轉彎2》除了率領最受觀眾喜愛的情緒主角樂樂、憂憂、怒怒、厭厭、驚驚再度登場，更深入探索踏上青少女時期的萊莉內心，全新情緒角色也將全面解鎖，即將隨著她的嶄新日常生活一一登場，但一場「腦內革命」也無可避面地隨之爆發，令萊莉的內心世界再度陷入空前危機，樂樂和大夥們因而展開全新旅程，勢必奪回主控權以阻止災難發生！《,https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7166,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240418002.jpg,https://www.youtube.com/embed/0T0dNI70aY4
56,劇場版 排球少年!! 垃圾場的決戰,HAIKYU THE DUMPSTER BATTLE,"""普""",2024-04-12,滿仲勸,(配音)村瀨步、石川界人、梶裕貴、中村悠一,動畫、喜劇、劇情,1時25分,"「宿命之戰——終於開打!!」長年累積的恩怨今天就將在此了結！！！睽違三年，《排球少年!!》在動畫第四季完結之後，終於迎來電影故事接續動畫在第四季之後，自從烏野高中擊敗全國大賽第二輪的勁敵稻荷崎高中後，便將面對宿敵：「音駒高中」，儘管這兩支球隊經常在練習賽中對戰，卻從未在全國錦標賽中交手；烏野與音駒兩所高中的排球教練在年輕時便許下了在全國大賽一決雌雄的約定，卻始終未能如願，直至今日，終於迎來對戰的機會，這兩組最熟悉的對手，都將拼盡全力，打出一場精采且不能重來的宿命之戰。
-羚邦映畫",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7142,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240227025.jpg,https://www.youtube.com/embed/kLYbnRhjcQE
57,默殺：無聲之地,A PLACE CALLED SILENCE,"""輔""",2024-10-18,柯汶利,黃健瑋、尹馨、張世、宸頤、李沐,懸疑、驚悚,1時45分,"《誤殺》柯汶利執導、陳昱俐共同編劇，以真實社會案件為靈感，探尋旁觀者的漠視，是否串聯起整個社會背後的沉默犯罪。
尹馨、黃健瑋突破尺度演出，詮釋脆弱無助與變態瘋狂間的一念之差，當懸疑被層層剝開，霸凌成為日常，面對信仰的質疑，真理能否如一把榔頭，敲碎人性頑石？而報復執念纏身、淹沒心中愧疚，那些沉默中引爆的以暴制暴，極限何在？靜穆女中的學生失蹤案接連不斷，與連續不止的雨天一樣，隱隱不安滲透人心；特教生小彤終日沉默，警官質疑她是案件的關鍵目擊者，試圖尋獲線索。
校慶前夕，當校長拉開儀式布條時，一具女屍從天而降，全場震驚四處逃竄；警方追查一連串失蹤案與女屍的關聯，媒體更大肆曲解報導。
原來，多年前這裡曾發生過一起墜樓案件，死者父親與小彤似乎都與此有所關聯……-鴻聯國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7503,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008001.jpg,https://www.youtube.com/embed/0pqdLo8O_5E?si
58,銀魂劇場版2D 一國傾城篇,Gintama on Theater 1,none,2024-10-18,藤田陽一,(配音)杉田智和、阪口大助、釘宮理惠、甲斐田裕子、森川智之、平野綾、井上和彥、土師孝也、千葉繁、龍齋貞友、小野友樹,動畫,時分,"劇情從美若天仙、精通百藝、千年難得一遇的傳說花魁「玲蘭」說起；「明月高升時，我會再來見你…」，玲蘭心底牢牢惦記著當時與情郎的約定，為了這個約定，她在吉源苦苦地等待意中人，但是幾年過去，情郎悄無音訊，她決定委託萬事屋的銀時幫助自己了卻心願；得知自己被傳說中的花魁指定任務，難掩內心激動的銀時迅速地趕到玲蘭面前，但讓他意想不到的是…這場等待也太久了…。
接下玲蘭的委託，銀時與月詠很快展開尋人的工作，歷經百般波折後，他們發現前任將軍德川定定似乎與這起事件相關，然而令他無法赴約的原因竟然是一樁足以撼動整個幕府的巨大陰謀。
銀次能否幫忙平定這場危機，順利讓玲蘭與意中人在明月高掛時相見？-羚邦亞洲",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7502,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241007002.jpg,https://www.youtube.com/embed/OhL3dNprmhk?si
59,孤狼救援,Gunner,none,2024-10-18,迪米崔洛戈塞蒂斯,路克漢斯沃、摩根費里曼、格蘭特菲利,動作、犯罪,時分,"李岡那（路克漢斯沃飾）要從危險的販毒集團中救出他的兒子路克和崔維斯。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7497,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241007001.jpg,https://www.youtube.com/embed/pkW4wPWu0R8?si
60,鄰家密友,My New Friends,none,2024-10-18,安德烈泰希內,伊莎貝雨蓓、阿芙皙雅艾薇、納韋爾培瑞茲比斯卡亞,犯罪、劇情,時分,"入選2024柏林影展全景單元，《激情密約》《野蘆葦》安德烈泰希內執導，《她的危險遊戲》伊莎貝雨蓓、《波斯語課》納韋爾培瑞茲比斯卡亞主演。
露西是一名警察。
一對年輕夫婦和他們的小女兒搬家成為了她的鄰居，擾亂了她孤獨的日常生活。
當露西認識她的新鄰居時，她發現其中的父親揚恩是一名擁有長期犯罪記錄的反警察活動人士。
露西作為一名警察的職業良心和幫助這個家庭的願望之間的道德衝突使她逐漸動搖……導演安德烈泰希內是法國新浪潮之後最有成就的電影導演之一，他是《電影手冊》第二代影評人，從電影評論進入電影製作領域。
他以極其優雅、情感豐沛的電影風格聞名，經常探討人類情感與社會結構的複雜性，以獨特的角度切入審視人際關係，是當代法國電影頗具份量的殿堂級創作者。
本片女主角伊莎貝雨蓓曾被法國凱薩獎提名16次，是該獎項的紀錄保持人，並曾以《儀式》(1995)與《她的危險遊戲》(2016)獲得凱薩獎最佳女主角獎。
伊莎貝雨蓓擁有極高國際知名度，並參與許多非法語圈電影的拍攝，是當代具代表性的金獎影后。
-原創娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7496,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930015.jpg,https://www.youtube.com/embed/fCkeM9D2wnY?si
61,辣手警探2,"I, The Executioner",none,2024-10-18,柳承完,黃晸珉、吳達洙、張允柱、吳代煥、金時厚、丁海寅,動作、犯罪,時分,"重案犯罪搜查隊刑警徐道哲（黄晸玟飾），不分晝夜地和隊員們一同對抗犯罪。
某天，一名教授之死竟與之前發生的殺人案有關，全國上下因連環殺手而感到焦慮不安。
刑警們開始展開搜查，然而連環殺手彷彿在嘲笑他們般，竟將下一個要殺害的目標公布在網路上，令全國民眾人心惶惶。
充滿正義感的刑警朴善宇（丁海寅飾）也加入重案犯罪搜查隊，案件也有新的發展……-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7495,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930014.jpg,https://www.youtube.com/embed/Z8DrPGoaHmE?si
62,懼裂,THE SUBSTANCE,"""限""",2024-10-18,柯洛里法吉特,瑪格麗特庫利、丹尼斯奎德、黛咪摩爾、Hugo Diego Garcia、Joseph Balderrama,奇幻/科幻、驚悚,2時21分,"2024多倫多影展觀眾票選首獎，《浴血狂花》柯洛里·法吉特導演兼編劇，《第六感生死戀》黛咪摩爾、《可憐的東西》瑪格麗特庫利、《為了與你相遇》丹尼斯奎德主演。
曾經紅極一時的好萊塢巨星伊莉莎白(黛咪摩爾飾)，無法面對自己老去的容顏，決定使用一種名為「完美物質」的黑市藥物，透過注射藥物的細胞複製物質，創造出更年輕、更好的另一個自己(瑪格麗特庫利飾)。
「年華老去」及「年輕貌美」的自己該如何共存？會是更強烈的容貌焦慮大戰？還是要不斷迎合大眾對「美」的期待？一場自我身體主導權的爭奪戰即將上演…女主角黛咪摩爾除了赤裸又血淋淋地挑戰從影以來最大尺度，更將電影中「完美成癮」到「面目全非」的瘋狂詮釋得淋漓盡致，堪稱「生涯最巔峰之作」，外媒更預測她可望以本片角逐奧斯卡最佳女主角獎，她自己則透露：「決定演出這部電影是一場考驗，也是一個賭注，因為這部電影真的太瘋狂了！只有導演柯洛里法吉特能夠駕馭這個故事，她讓這部電影達到無與倫比的完美。
」-Catchplay",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7494,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930009.jpg,https://www.youtube.com/embed/sXa_BVCYWZA?si
63,陰陽師0,The Yin Yang Master Zero,none,2024-10-18,佐藤嗣麻子,山崎賢人、染谷將太、奈緒、北村一輝、小林薰、安藤政信、國村隼,奇幻/科幻、懸疑、劇情,時分,"世間有名者皆受咒束縛。
千年前的平安時代人鬼共存，魑魅魍魎橫衝直撞，卻又藏匿於人心的各種欲望。
陰陽寮的學生安倍晴明，傳說是狐妖之子，雖天賦異稟卻對追求名利毫無興趣，一心只想揭開父母遇害之謎，特立獨行也引來眾妒。
有天，皇族徽子女王的住所發生奇異事件，貴族之子源博雅受託前來尋求晴明相助，與此同時，陰陽寮也有學生離奇死亡，各種異象顯示邪惡陰謀籠罩平安京，種種謎團即將解咒，真相讓人不寒而慄。
改編自同名系列小說，原作者夢枕獏協助監製全新故事。
演員陣容華麗，網羅山崎賢人、染谷將太、奈緒、北村一輝、小林薰、安藤政信、國村隼等，更找來加門七海擔任咒術顧問，片中旁白亦由人氣聲優津田健次郎助陣，這部為紀念安倍晴明誕生一千一百週年所製作的電影，將為《陰陽師》寫下全新篇章。
史上最強咒術師，沒有之一！-采昌國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7493,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008002.jpg,https://www.youtube.com/embed/HvHZD3r0WLM?si
